Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude  Altitude(m)    HDOP        eRes  Temperature(C)  Voltage(V)
    1          Valid   7/7  25/05/12  00:00:06  25/05/12  00:00:10.284      4.284     40.53925    141.55778        39.92     1.4         0.5            29.5        3.90
    2          Valid   7/7  25/05/12  00:05:12  25/05/12  00:05:16.600      4.600     40.53921    141.55775        46.15     1.4         1.0            32.5        3.90
    3          Valid   6/6  25/05/12  00:10:06  25/05/12  00:10:10.172      4.172     40.53922    141.55782        41.27     1.9         0.6            31.5        3.90
    4          Valid   6/7  25/05/12  00:15:07  25/05/12  00:15:11.184      4.184     40.53944    141.55714       155.09     1.6        -8.2            32.5        3.90
    5          Valid   5/6  25/05/12  00:20:06  25/05/12  00:20:10.158      4.158     40.53924    141.55762        75.95     2.0         1.4            33.0        3.90
    6          Valid   3/5  25/05/12  00:25:12  25/05/12  00:25:16.600      4.600     40.54009    141.55698        75.95    20.2         0.1            35.5        3.90
    7          Valid   5/5  25/05/12  00:30:11  25/05/12  00:30:15.173      4.173     40.53926    141.55767        57.70     2.3         1.1            36.0        3.90
    8          Valid   6/6  25/05/12  00:35:07  25/05/12  00:35:11.176      4.176     40.53922    141.55771        54.84     1.9         0.8            34.5        3.90
    9          Valid   7/7  25/05/12  00:40:07  25/05/12  00:40:11.181      4.181     40.53921    141.55780        43.84     1.7         0.9            35.5        3.90
   10          Valid   6/6  25/05/12  00:45:06  25/05/12  00:45:10.191      4.191     40.53917    141.55778        43.96     2.0         0.2            36.0        3.90
   11          Valid   7/7  25/05/12  00:50:06  25/05/12  00:50:10.197      4.197     40.53923    141.55776        43.00     1.8         1.0            36.0        3.90
   12          Valid   7/7  25/05/12  00:55:06  25/05/12  00:55:10.194      4.194     40.53923    141.55778        41.63     1.2         0.6            36.0        3.90
   13          Valid   8/8  25/05/12  01:00:06  25/05/12  01:00:10.207      4.207     40.53921    141.55781        43.57     1.1         1.1            35.5        3.90
   14          Valid   8/8  25/05/12  01:05:06  25/05/12  01:05:10.205      4.205     40.53922    141.55772        45.97     1.1         1.0            35.5        3.90
   15          Valid   8/8  25/05/12  01:10:06  25/05/12  01:10:10.212      4.212     40.53924    141.55775        42.70     1.1         0.8            36.0        3.90
   16          Valid   7/7  25/05/12  01:15:06  25/05/12  01:15:10.222      4.222     40.53924    141.55779        46.89     1.2         0.5            36.0        3.90
   17          Valid   8/8  25/05/12  01:20:06  25/05/12  01:20:10.224      4.224     40.53921    141.55779        47.38     1.1         0.7            36.5        3.90
   18          Valid   7/7  25/05/12  01:25:06  25/05/12  01:25:10.235      4.235     40.53920    141.55775        46.57     1.2         1.1            37.5        3.90
   19          Valid   8/8  25/05/12  01:30:07  25/05/12  01:30:11.241      4.241     40.53921    141.55776        46.10     1.2         0.8            39.0        3.90
   20          Valid   8/8  25/05/12  01:35:06  25/05/12  01:35:10.245      4.245     40.53922    141.55779        47.79     1.0         1.1            39.5        3.90
   21          Valid   8/8  25/05/12  01:40:06  25/05/12  01:40:10.254      4.254     40.53921    141.55775        45.21     1.0         1.7            39.5        3.90
   22  NotEnoughSats   0/8  25/05/12  01:45:07                              4.710                                                                       40.0        3.90
   23          Valid   8/8  25/05/12  01:50:06  25/05/12  01:50:10.267      4.267     40.53921    141.55778        48.93     1.2         1.2            39.5        3.90
   24          Valid   8/8  25/05/12  01:55:06  25/05/12  01:55:10.264      4.264     40.53918    141.55778        46.03     1.2         1.4            39.0        3.90
   25          Valid   8/8  25/05/12  02:00:06  25/05/12  02:00:10.275      4.275     40.53923    141.55778        37.95     1.4         1.1            39.0        3.90
   26          Valid   8/8  25/05/12  02:05:06  25/05/12  02:05:10.280      4.280     40.53919    141.55777        44.24     1.2         0.6            39.0        3.90
   27          Valid   7/7  25/05/12  02:10:06  25/05/12  02:10:10.290      4.290     40.53922    141.55783        40.94     1.2         1.7            39.0        3.90
   28          Valid   7/7  25/05/12  02:15:06  25/05/12  02:15:10.290      4.290     40.53920    141.55772        47.62     1.3         1.1            40.0        3.90
   29          Valid   7/7  25/05/12  02:20:06  25/05/12  02:20:10.301      4.301     40.53921    141.55779        41.29     1.3         0.7            41.5        3.90
   30          Valid   7/8  25/05/12  02:25:06  25/05/12  02:25:10.303      4.303     40.53923    141.55782        47.87     1.3         1.2            42.0        3.90
   31          Valid   7/7  25/05/12  02:30:06  25/05/12  02:30:10.311      4.311     40.53921    141.55776        48.45     1.8         1.3            42.5        3.90
   32          Valid   8/8  25/05/12  02:35:06  25/05/12  02:35:10.311      4.311     40.53919    141.55773        48.73     1.6         1.2            42.5        3.90
   33          Valid   7/7  25/05/12  02:40:06  25/05/12  02:40:10.331      4.331     40.53924    141.55778        53.11     1.7         0.8            42.5        3.90
   34          Valid   6/6  25/05/12  02:45:06  25/05/12  02:45:10.329      4.329     40.53923    141.55777        39.86     1.8         0.7            43.0        3.90
   35          Valid   6/6  25/05/12  02:50:06  25/05/12  02:50:10.330      4.330     40.53922    141.55778        38.82     2.1         1.3            44.5        3.90
   36          Valid   6/6  25/05/12  02:55:07  25/05/12  02:55:11.346      4.346     40.53916    141.55781        37.72     2.2         0.6            44.0        3.90
   37          Valid   6/6  25/05/12  03:00:06  25/05/12  03:00:10.349      4.349     40.53919    141.55776        37.39     2.3         1.0            42.5        3.90
   38          Valid   7/7  25/05/12  03:05:06  25/05/12  03:05:10.353      4.353     40.53925    141.55777        42.05     2.2         0.9            41.5        3.90
   39          Valid   6/6  25/05/12  03:10:07  25/05/12  03:10:11.353      4.353     40.53923    141.55779        41.66     3.0         0.4            40.5        3.90
   40          Valid   6/6  25/05/12  03:15:06  25/05/12  03:15:10.376      4.376     40.53915    141.55777        42.55     3.4         0.5            39.0        3.90
   41          Valid   6/6  25/05/12  03:20:06  25/05/12  03:20:10.373      4.373     40.53922    141.55776        43.03     4.1         0.6            39.0        3.90
   42          Valid   6/6  25/05/12  03:25:07  25/05/12  03:25:11.368      4.368     40.53931    141.55769        43.67     4.9         0.8            39.5        3.90
   43          Valid   6/6  25/05/12  03:30:06  25/05/12  03:30:10.380      4.380     40.53922    141.55778        44.08     5.7         0.7            39.0        3.90
   44          Valid   6/6  25/05/12  03:35:08  25/05/12  03:35:12.398      4.398     40.53913    141.55780        44.52     6.2         0.3            39.5        3.90
   45          Valid   6/6  25/05/12  03:40:06  25/05/12  03:40:10.397      4.397     40.53922    141.55776        44.33     6.1         0.9            39.5        3.90
   46          Valid   7/7  25/05/12  03:45:06  25/05/12  03:45:10.398      4.398     40.53924    141.55777        43.03     1.2         1.3            39.5        3.90
   47          Valid   7/7  25/05/12  03:50:07  25/05/12  03:50:11.410      4.410     40.53922    141.55773        43.49     1.2         0.3            40.0        3.90
   48          Valid   7/8  25/05/12  03:55:06  25/05/12  03:55:10.413      4.413     40.53923    141.55773        43.15     1.2         2.1            40.0        3.90
   49          Valid   7/7  25/05/12  04:00:07  25/05/12  04:00:11.426      4.426     40.53922    141.55775        43.66     1.2         2.0            40.0        3.90
   50          Valid   7/7  25/05/12  04:05:06  25/05/12  04:05:10.430      4.430     40.53924    141.55775        43.80     1.1         1.1            39.0        3.90
   51          Valid   8/8  25/05/12  04:10:07  25/05/12  04:10:11.434      4.434     40.53920    141.55773        44.27     1.0         1.1            38.5        3.90
   52          Valid   8/8  25/05/12  04:15:06  25/05/12  04:15:10.436      4.436     40.53919    141.55778        50.28     1.0         1.5            38.0        3.90
   53          Valid   7/7  25/05/12  04:20:06  25/05/12  04:20:10.435      4.435     40.53920    141.55780        45.66     2.3         0.8            37.5        3.90
   54          Valid   7/7  25/05/12  04:25:06  25/05/12  04:25:10.435      4.435     40.53915    141.55770        44.28     2.2         1.4            37.5        3.90
   55          Valid   8/8  25/05/12  04:30:06  25/05/12  04:30:10.456      4.456     40.53922    141.55777        46.25     1.0         1.0            37.5        3.90
   56          Valid   7/7  25/05/12  04:35:06  25/05/12  04:35:10.454      4.454     40.53921    141.55779        38.96     1.1         1.4            38.5        3.90
   57          Valid   8/8  25/05/12  04:40:06  25/05/12  04:40:10.463      4.463     40.53923    141.55780        40.54     1.5         1.0            38.5        3.90
   58          Valid   7/7  25/05/12  04:45:07  25/05/12  04:45:11.474      4.474     40.53922    141.55775        41.90     1.7         1.8            38.5        3.90
   59          Valid   8/8  25/05/12  04:50:07  25/05/12  04:50:11.484      4.484     40.53920    141.55777        44.69     1.5         1.5            38.0        3.90
   60          Valid   8/8  25/05/12  04:55:06  25/05/12  04:55:10.485      4.485     40.53916    141.55778        51.07     1.3         1.2            37.0        3.90
   61          Valid   6/6  25/05/12  05:00:07  25/05/12  05:00:11.494      4.494     40.53919    141.55771        47.81     1.7         0.6            37.0        3.90
   62          Valid   7/7  25/05/12  05:05:06  25/05/12  05:05:10.498      4.498     40.53921    141.55775        48.36     1.4         0.5            37.5        3.90
   63          Valid   7/7  25/05/12  05:10:06  25/05/12  05:10:10.500      4.500     40.53923    141.55779        44.31     1.4         0.7            37.0        3.90
   64          Valid   8/8  25/05/12  05:15:07  25/05/12  05:15:11.507      4.507     40.53920    141.55781        47.48     1.3         1.3            37.5        3.90
   65          Valid   7/7  25/05/12  05:20:06  25/05/12  05:20:10.514      4.514     40.53919    141.55773        46.62     1.5         0.2            37.0        3.90
   66          Valid   5/5  25/05/12  05:25:12  25/05/12  05:25:16.977      4.977     40.53933    141.55771        41.87     2.1         0.8            39.0        3.90
   67          Valid   7/7  25/05/12  05:30:06  25/05/12  05:30:06.526      0.526     40.53921    141.55783        45.02     1.5         1.2            37.5        3.90
   68          Valid   7/7  25/05/12  05:35:06  25/05/12  05:35:06.531      0.531     40.53920    141.55777        56.40     1.5         1.4            36.5        3.90
   69          Valid   7/7  25/05/12  05:40:06  25/05/12  05:40:06.525      0.525     40.53920    141.55773        44.05     1.5         1.0            36.0        3.90
   70          Valid   7/7  25/05/12  05:45:06  25/05/12  05:45:06.538      0.538     40.53924    141.55778        40.55     1.4         0.9            35.5        3.90
   71          Valid   6/6  25/05/12  05:50:06  25/05/12  05:50:06.537      0.537     40.53922    141.55778        41.28     1.7         0.4            36.0        3.90
   72          Valid   6/6  25/05/12  05:55:07  25/05/12  05:55:07.549      0.549     40.53919    141.55775        36.16     1.8         1.2            36.5        3.90
   73          Valid   7/7  25/05/12  06:00:06  25/05/12  06:00:06.563      0.563     40.53916    141.55778        38.09     1.4         1.1            36.0        3.90
   74          Valid   7/7  25/05/12  06:05:06  25/05/12  06:05:06.560      0.560     40.53921    141.55780        39.03     1.6         0.4            36.0        3.90
   75          Valid   6/6  25/05/12  06:10:06  25/05/12  06:10:06.571      0.571     40.53917    141.55780        39.74     2.7         0.8            36.0        3.90
   76          Valid   7/8  25/05/12  06:15:06  25/05/12  06:15:06.566      0.566     40.53924    141.55770        45.30     1.6         1.2            36.0        3.90
   77          Valid   7/8  25/05/12  06:20:06  25/05/12  06:20:06.568      0.568     40.53946    141.55735        46.94     1.3         1.3            33.0        3.90
   78          Valid   8/8  25/05/12  06:25:06  25/05/12  06:25:06.581      0.581     40.53926    141.55668        45.33     1.4         1.5            21.5        3.90
   79          Valid   8/8  25/05/12  06:30:06  25/05/12  06:30:06.581      0.581     40.53899    141.55657        38.16     1.2         1.2            24.5        3.90
   80          Valid   8/8  25/05/12  06:35:06  25/05/12  06:35:06.591      0.591     40.54643    141.55070        46.68     1.3         0.8            24.0        3.90
