id,sex,test_date,test_phase,test_number,LR_observer,LR_bird,obtained
7_p,M,2025/5/28,habituation,1,R,R,1
7_p,M,2025/5/28,habituation,2,L,L,1
7_p,M,2025/5/28,trial,1,L,L,1
7_p,M,2025/5/28,trial,2,R,R,1
7_p,M,2025/5/28,trial,3,L,R,1
7_p,M,2025/5/28,trial,4,R,L,1
7_p,M,2025/5/28,trial,5,L,R,1
7_p,M,2025/5/28,trial,6,R,R,1
7_p,M,2025/5/28,trial,7,L,R,1
7_p,M,2025/5/28,trial,8,R,L,1
7_p,M,2025/5/28,trial,9,L,L,1
7_p,M,2025/5/28,trial,10,R,L,1
14_p,M,2025/5/29,habituation,1,L,L,1
14_p,M,2025/5/29,habituation,2,R,R,1
14_p,M,2025/5/29,trial,1,L,NA,0
14_p,M,2025/5/29,trial,2,R,L,1
14_p,M,2025/5/29,trial,3,L,L,1
14_p,M,2025/5/29,trial,4,R,NA,0
14_p,M,2025/5/29,trial,5,L,NA,0
14_p,M,2025/5/29,trial,6,R,L,1
14_p,M,2025/5/29,trial,7,L,L,1
14_p,M,2025/5/29,trial,8,R,L,1
14_p,M,2025/5/29,trial,9,L,NA,0
14_p,M,2025/5/29,trial,10,R,NA,0
7_a,F,2025/5/29,habituation,1,R,R,1
7_a,F,2025/5/29,habituation,2,L,L,1
7_a,F,2025/5/29,trial,1,L,NA,0
7_a,F,2025/5/29,trial,2,L,NA,0
7_a,F,2025/5/29,trial,3,R,NA,0
7_a,F,2025/5/29,trial,4,R,NA,0
7_a,F,2025/5/29,trial,5,L,L,1
7_a,F,2025/5/29,trial,6,L,L,1
7_a,F,2025/5/29,trial,7,L,R,1
7_a,F,2025/5/29,trial,8,R,L,1
7_a,F,2025/5/29,trial,9,R,R,1
7_a,F,2025/5/29,trial,10,L,R,1
14_a,F,2025/6/1,habituation,1,R,R,1
14_a,F,2025/6/1,habituation,2,L,L,1
14_a,F,2025/6/1,trial,1,L,NA,0
14_a,F,2025/6/1,trial,2,L,NA,0
14_a,F,2025/6/1,trial,3,R,NA,0
14_a,F,2025/6/1,trial,4,R,L,1
14_a,F,2025/6/1,trial,5,L,NA,0
14_a,F,2025/6/1,trial,6,L,NA,0
14_a,F,2025/6/1,trial,7,L,NA,0
14_a,F,2025/6/1,trial,8,R,NA,0
14_a,F,2025/6/1,trial,9,R,NA,0
14_a,F,2025/6/1,trial,10,R,NA,0
59,M,2025/6/1,habituation,1,R,R,1
59,M,2025/6/1,habituation,2,L,L,1
59,M,2025/6/1,trial,1,L,R,1
59,M,2025/6/1,trial,2,L,R,1
59,M,2025/6/1,trial,3,L,R,1
59,M,2025/6/1,trial,4,L,R,1
59,M,2025/6/1,trial,5,L,NA,0
59,M,2025/6/1,trial,6,R,R,1
59,M,2025/6/1,trial,7,R,R,1
59,M,2025/6/1,trial,8,R,NA,0
59,M,2025/6/1,trial,9,R,R,1
59,M,2025/6/1,trial,10,R,l,1
63,F,2025/6/2,habituation,1,L,L,1
63,F,2025/6/2,habituation,2,R,R,1
63,F,2025/6/2,trial,1,L,NA,0
63,F,2025/6/2,trial,2,L,NA,0
63,F,2025/6/2,trial,3,L,L,1
63,F,2025/6/2,trial,4,R,NA,0
63,F,2025/6/2,trial,5,L,NA,0
63,F,2025/6/2,trial,6,L,NA,0
63,F,2025/6/2,trial,7,R,NA,0
63,F,2025/6/2,trial,8,L,NA,0
63,F,2025/6/2,trial,9,R,R,1
63,F,2025/6/2,trial,10,L,L,1
62,F,2025/6/2,habituation,1,L,L,1
62,F,2025/6/2,habituation,2,R,R,1
62,F,2025/6/2,trial,1,R,NA,0
62,F,2025/6/2,trial,2,L,L,1
62,F,2025/6/2,trial,3,R,L,1
62,F,2025/6/2,trial,4,R,L,1
62,F,2025/6/2,trial,5,R,L,1
62,F,2025/6/2,trial,6,L,L,1
62,F,2025/6/2,trial,7,R,L,1
62,F,2025/6/2,trial,8,L,L,1
62,F,2025/6/2,trial,9,R,L,1
62,F,2025/6/2,trial,10,L,L,1
64,F,2025/6/2,habituation,1,L,L,1
64,F,2025/6/2,habituation,2,R,R,1
64,F,1900/3/7,trial,1,L,NA,0
64,F,2025/6/2,trial,2,L,NA,0
64,F,2025/6/2,trial,3,L,R,1
64,F,2025/6/2,trial,4,L,R,1
64,F,2025/6/2,trial,5,L,R,1
64,F,2025/6/2,trial,6,R,L,1
64,F,2025/6/2,trial,7,R,L,1
64,F,2025/6/2,trial,8,R,L,1
64,F,2025/6/2,trial,9,R,R,1
64,F,2025/6/2,trial,10,R,R,1
67,M,2025/6/5,habituation,1,R,R,1
67,M,2025/6/5,habituation,2,L,L,1
67,M,2025/6/5,trial,1,L,L,1
67,M,2025/6/5,trial,2,L,NA,0
67,M,2025/6/5,trial,3,L,NA,0
67,M,2025/6/5,trial,4,L,NA,0
67,M,2025/6/5,trial,5,L,NA,0
67,M,2025/6/5,trial,6,R,NA,0
67,M,2025/6/5,trial,7,R,R,1
67,M,2025/6/5,trial,8,R,R,1
67,M,2025/6/5,trial,9,R,NA,0
67,M,2025/6/5,trial,10,R,NA,0
60,F,2025/6/6,habituation,1,L,L,1
60,F,2025/6/6,habituation,2,R,R,1
60,F,2025/6/6,trial,1,L,L,1
60,F,2025/6/6,trial,2,L,L,1
60,F,2025/6/6,trial,3,L,L,1
60,F,2025/6/6,trial,4,L,L,1
60,F,2025/6/6,trial,5,L,L,1
60,F,2025/6/6,trial,6,R,L,1
60,F,2025/6/6,trial,7,R,L,1
60,F,2025/6/6,trial,8,R,R,1
60,F,2025/6/6,trial,9,R,L,1
60,F,2025/6/6,trial,10,R,L,1
66,F,2025/6/7,habituation,1,L,L,1
66,F,2025/6/7,habituation,2,R,R,1
66,F,2025/6/7,trial,1,R,NA,0
66,F,2025/6/7,trial,2,L,NA,0
66,F,2025/6/7,trial,3,R,NA,0
66,F,2025/6/7,trial,4,L,NA,0
66,F,2025/6/7,trial,5,R,NA,0
66,F,2025/6/7,trial,6,L,NA,0
66,F,2025/6/7,trial,7,R,NA,0
66,F,2025/6/7,trial,8,L,NA,0
66,F,2025/6/7,trial,9,R,NA,0
66,F,2025/6/7,trial,10,L,NA,0
